impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-176187,A723905,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905470,LOST,Tofu,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"Feb 07, 2025",Date Lost,SE  240th St & 108th Ave SE,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905470,Image Copyright HLP Inc. 2025,"Description: Black cat<p/>Age: Over 1 year<p/>Location Lost: 240 SE and 108 SE, Kent WA  98030<p/>Lost Date: 2025-02-07<p/>",
K25-176337,A724139,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724139,"Northgate Petco 318 NE NORTHGATE WAY SEATTLE, WA 98125",Monty,Cat,3 YEARS,Neutered Male,Domestic Longhair,Gray Tabby / White,"Feb 14, 2025",Received on,28700 block of  34TH AVE S,AUBURN,WA,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724139,Image Copyright HLP Inc. 2025,"Received on: 2025-02-14<p/> Found Near: 28700 block of  34TH AVE S<p/> Description: Gray Tabby / White Neutered Male Domestic Longhair Cat<p/> Age: 3 YEARS<p/> Current Location: Northgate Petco 318 NE NORTHGATE WAY SEATTLE, WA 98125<p/>",
K25-176748,A724920,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,,,Deceased Cat,NO AGE,Unknown,Domestic Mediumhair,Black,"Mar 03, 2025",Received on,16500 block of  76TH AVE NE,KENMORE,WA,98028,KENMORE,,,,Image Copyright HLP Inc. 2025,Received on: 2025-03-03<p/> Found Near: 16500 block of  76TH AVE NE<p/> Description: Black Unknown Domestic Mediumhair Cat<p/> Age: NO AGE<p/>,
K25-175800,A723101,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2899595,In Public Home,Star (?),Dog,Unknown<p/>,Female,Alaskan Husky,White,"Jan 22, 2025",Date Found,MILITARY  RD AND 5 MILE DRIVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2899595,Image Copyright HLP Inc. 2025,"Description: she is white and really sweet. great with the kids. definitely loved. people say she was at the shelter a few days ago and escaped again. <p/>Age: Unknown<p/>Found Near: military rd and 5 mile drive , Federal Way WA  98003<p/>Found Date: 2025-01-22<p/>",
K25-175791,A723074,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2899423,LOST,Kiki,Bird,Over 1 year<p/>,Male,,Unknown,"Jan 21, 2025",Date Lost,Auburn  Way N & 45th St NE,Auburn,,98002,AUBURN,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2899423,Image Copyright HLP Inc. 2025,"Description: Kiki is a male cockatiel. He has a grey and white body with a yellow head and orange cheeks. No ankle bracelet. He will sometimes answer to his name and say “Kiki” or “Kikipoo” if you call him. His wings are not clipped and he will hide one of his feet when he is sleeping. He’s not very friendly with strangers and doesn’t like to be alone. He has a very loud distinctive chirp. We are desperately wanting him back. <p/>Age: Over 1 year<p/>Location Lost: Auburn Way N and 45th St NE, Auburn WA  98002<p/>Lost Date: 2025-01-21<p/>",
K25-175737,A718701,Regional Animal Services of King County,ADOPTABLE,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,Kasper,Rabbit Sh,4 MONTHS,Neutered Male,Rabbit Sh,Black,"Oct 22, 2024",Received on,21615 64TH AVE S,KENT,WA,98032,KING COUNTY,47.407788,-122.255197,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A718701,Image Copyright HLP Inc. 2025,Received on: 2024-10-22<p/> Description: Black Neutered Male Rabbit Sh Rabbit Sh<p/> Age: 4 MONTHS<p/> Adoption Fee: $30<p/> Current Location: In RASKC Foster Home <p/><p/>,
K25-176452,A724349,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909000,LOST,Rocco And Jo,Dog,Under 1 year<p/>,Male,German Shepherd,Black,"Feb 19, 2025",Date Lost,8300 block of  WABASH AVE S,Seattle,,98118,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909000,Image Copyright HLP Inc. 2025,"Description: Two German Shepard and Labrador dog mix ,all black with white patch on chest, belly and paw, they are from the same litter and look almost identical <p/>Age: Under 1 year<p/>Location Lost: 8338 wabash ave s Seattle, wa , Seattle WA  98118<p/>Lost Date: 2025-02-19<p/>",
K25-176614,A724635,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2911090,LOST,Fikir,Dog,Over 1 year<p/>,Male,Havanese,White,"Feb 24, 2025",Date Lost,SE  188TH PLACE AND SE 192ND DRIVE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2911090,Image Copyright HLP Inc. 2025,"Description: He’s a 5 year old Havanese. He has white hair with light brown ears, a brown spot on his left side, and one on the base of his tail. He is wearing a black collar with a blue tag that has his name on it and my mom’s phone number.<p/>Age: Over 1 year<p/>Location Lost: SE 188th Place and SE 192nd Drive, Renton WA  98058<p/>Lost Date: 2025-02-24<p/>",
K25-176070,A723703,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903573,In Public Home,,Dog,Under 1 year<p/>,Female,Bull Terrier,Black,"Feb 04, 2025",Date Found,PAC  HWY AND 252ND,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903573,Image Copyright HLP Inc. 2025,"Description: Approximately 10-12 weeks old.  No collar.  <p/>Age: Under 1 year<p/>Found Near: Pac Hwy and 252nd, Kent WA  98032<p/>Found Date: 2025-02-04<p/>",
K25-176736,A724900,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2913083,LOST,Sherman,Cat,Over 1 year<p/>,Male,Siamese,Unknown,"Mar 01, 2025",Date Lost,98010 98010,,,98010,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2913083,Image Copyright HLP Inc. 2025,"Description: small, short haired siamese. <p/>Age: Over 1 year<p/>Location Lost: 400th and 258th ENUMCLAW, Enumclaw WA  98022<p/>Lost Date: Mar  1 202<p/>",
K25-176332,A724134,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2907249,LOST,Bruno,Dog,Under 1 year<p/>,Male,Pit Bull,Brown,"Feb 14, 2025",Date Lost,SE  164TH ST AND 123RD AVE ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2907249,Image Copyright HLP Inc. 2025,"Description: 3 month old, Blue Collar with Bones, Black Mouth, White Socks, Brown Fur. EMOTIONAL SUPPORT ANIMAL<p/>Age: Under 1 year<p/>Location Lost: SE 164th st and 123rd ave st, Renton WA  98058<p/>Lost Date: 2025-02-14<p/>",
K25-176739,A724904,Regional Animal Services of King County,FOUND,https://kingcounty.gov/depts/regional-animal-services/about-us/overview.aspx,In RASKC Foster Home,,Dog,NO AGE,Female,Australian Cattle Dog / Mix,Black / White,"Mar 03, 2025",Received on,24400 block of  100TH AVE SE,KENT,WA,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724904,Image Copyright HLP Inc. 2025,Received on: 2025-03-03<p/> Found Near: 24400 block of  100TH AVE SE<p/> Description: Black / White Female Australian Cattle Dog / Mix Dog<p/> Age: NO AGE<p/> Current Location: In RASKC Foster Home <p/>,
K25-175984,A723445,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2902189,In Public Home,Derek,Dog,Over 1 year<p/>,Male,Alaskan Husky,Unknown,"Jan 30, 2025",Date Found,NE  44th St & Lake Washington Blvd N,Renton,,98056,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2902189,Image Copyright HLP Inc. 2025,"Description: White and Black Husky<p/>Age: Over 1 year<p/>Found Near: NE 44th St and Lake Washington BLVD NE, Renton WA  98056<p/>Found Date: 2025-01-30<p/>",
K25-176036,A723575,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2903064,LOST,Juan And Jul,Equine,Over 1 year<p/>,Male,,White,"Feb 02, 2025",Date Lost,3800 block of  136TH AVE NE,Bellevue,,98005,BELLEVUE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2903064,Image Copyright HLP Inc. 2025,"Description: Two mini donkeys stolen from a paddock in Bellevue. They are old and well loved. Owner and neighbor desperate to find them. One is white and the other is white and brown. Very friendly.<p/>Age: Over 1 year<p/>Location Lost: 3840 136th Avenue Northeast, Bellevue WA  98005<p/>Lost Date: 2025-02-02<p/>",
K25-176464,A724378,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909141,LOST,Gabriel,Cat,Over 1 year<p/>,Male,Ragdoll,Unknown,"Feb 13, 2025",Date Lost,196TH  AVE SE AND RENTON-MAPLE VALLEY RD (169),,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909141,Image Copyright HLP Inc. 2025,"<p/>Age: Over 1 year<p/>Location Lost: 196th Ave SE and  Renton-Maple Valley Rd (169), Renton WA  98058<p/>Lost Date: 2025-02-13<p/>",
K25-176635,A724677,Regional Animal Services of King County,ADOPTABLE,https://petharbor.com/pet.asp?uaid=KING.A724677,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Gibson,Dog,5 YEARS,Neutered Male,Pit Bull,Black / White,"Feb 26, 2025",Received on,,,,,,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724677,Image Copyright HLP Inc. 2025,"Received on: 2025-02-26<p/> Description: Black / White<p/>  Neutered Male Pit Bull Dog<p/> Age: 5 YEARS<p/> Adoption Fee: $30<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>Hi! My name is Gibson and I am available for adoption.<p/><p/>I was brought in by a good samaritan on February 26, 2025.<p/><p/>I weigh ~70 lbs and am considered a ""large breed"" dog.<p/><p/>I must admit I can be quite shy and unsure of new things and people at first. I am a huge foodie so I can be won over with treats. I take treats gently and will happily ""sit"" and ""shake"" for them :)<p/><p/>Once I warm up to you I am a sweet guy!<p/><p/>The good samaritan said that I was very excited when I met the other dogs in the home! When meeting dogs in a new home, I would do best with a slow introduction.<p/><p/>My caregivers mention that I appear to be potty-trained!<p/><p/>I am a spirited dog with a fun-loving personality! I am still working on my manners, so I would do best with a family who is willing to work with me and help me become the best dog I can be!<p/>",
K25-176203,A723960,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905786,LOST,Dove,Cat,Over 1 year<p/>,Male,American Shorthair,Black,"Feb 10, 2025",Date Lost,4400 block of  S 352ND ST,,,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905786,Image Copyright HLP Inc. 2025,"Description: He has black hair, and around 5.5kg.<p/>Age: Over 1 year<p/>Location Lost: 4436 South 352nd Street, Auburn WA  98001<p/>Lost Date: 2025-02-10<p/>",
K25-176311,A724094,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2906915,In Public Home,,Cat,Unknown<p/>,Male,Domestic Shorthair,Unknown,"Feb 12, 2025",Date Found,116TH  & SE 208TH ST,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2906915,Image Copyright HLP Inc. 2025,"Description: White with greyish black spots<p/>Age: Unknown<p/>Found Near: 116th & SE 208th St, Kent WA  98031<p/>Found Date: 2025-02-12<p/>",
K25-176166,A723882,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905258,LOST,Juju,Cat,Over 1 year<p/>,Male,Himalayan,Unknown,"Jan 30, 2025",Date Lost,27400 block of  149TH PL SE,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905258,Image Copyright HLP Inc. 2025,"Description: Very skitish will probably run if approached<p/>Age: Over 1 year<p/>Location Lost: 27471 149th pl se , Kent WA  98042<p/>Lost Date: 2025-01-30<p/>",
K25-176527,A724484,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2910199,LOST,Theo,Dog,Unknown<p/>,Male,Dachshund - Long-Haired,Brown,"Jan 26, 2025",Date Lost,4400 block of  SE Issaquah-Fall City Rd,King County,,98024,KING COUNTY,47.564699,-121.889594,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2910199,Image Copyright HLP Inc. 2025,"<p/>Age: Unknown<p/>Location Lost: 3268 se issaquah fall city rd , Fall City WA  98024<p/>Lost Date: 2025-01-26<p/>",
K25-176016,A723523,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2902623,In Public Home,,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Feb 01, 2025",Date Found,26200 block of  114TH LN SE,Kent,,98030,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2902623,Image Copyright HLP Inc. 2025,"Description: Orange male, very friendly - a bit chunky.  Has a non-breakaway collar on with rose gold hardware.<p/>Age: Over 1 year<p/>Found Near: 26200 block of  114TH LN SE<p/>Found Date: 2025-02-01<p/>",
K25-176609,A724628,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724628,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Tommy,Cat,NO AGE,Male,Domestic Shorthair,Brn Tabby / White,"Feb 25, 2025",Received on,18500 block of  SE 224TH ST,KENT,WA,98042,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724628,Image Copyright HLP Inc. 2025,"Received on: 2025-02-25<p/> Found Near: 18500 block of  SE 224TH ST<p/> Description: Brn Tabby / White Male Domestic Shorthair Cat<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176482,A724403,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2909499,LOST,Slinky,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Brown,"Feb 13, 2025",Date Lost,3000 block of  S 204TH ST,SeaTac,,98198,SEATAC,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2909499,Image Copyright HLP Inc. 2025,"Description: neutered male tabby slim and long body is about 14 lbs, , has cream spot on chest and around eyes and white on tail tip. he is skittish and was not wearing a collar<p/>Age: Over 1 year<p/>Location Lost: 3035 S 204th St, Seattle WA  98198<p/>Lost Date: 2025-02-13<p/>",
K25-176742,A724908,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A724908,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",,Dog,NO AGE,Male,Havanese,Gray / White,"Mar 03, 2025",Received on,14600 block of  46TH AVE S,TUKWILA,WA,98168,TUKWILA,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A724908,Image Copyright HLP Inc. 2025,"Received on: 2025-03-03<p/> Found Near: 14600 block of  46TH AVE S<p/> Description: Gray / White Male Havanese Dog<p/> Age: NO AGE<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-176188,A723906,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2905474,LOST,Chloe,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Feb 08, 2025",Date Lost,S  293rd Pl & 37th Pl S,King County,,98001,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2905474,Image Copyright HLP Inc. 2025,"Description: small, 6-7 pound tuxedo cat. <p/>Age: Over 1 year<p/>Location Lost: s 293 pl and 37 pl s, Auburn WA  98001<p/>Lost Date: 2025-02-08<p/>",
K25-176388,A724242,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2908172,In Public Home,,Dog,Over 1 year<p/>,Female,Pit Bull,Brown,"Feb 17, 2025",Date Found,GILLMAN  ROAD & 4TH AVENUE NW,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2908172,Image Copyright HLP Inc. 2025,"Description: Female, brown and white pitbull breed. She is a large dog (over 85 lbs.) and had multiple litters of puppies. She doesn't appear to have been nursing very recently.  The vet could not find a microchip.<p/>Age: Over 1 year<p/>Found Near: Gillman Road & 4th Avenue NW, Issaquah WA  98029<p/>Found Date: Feb 17 202<p/>",
K25-176578,A724575,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2910644,LOST,Bear,Dog,Over 1 year<p/>,Male,Staffordshire Bull Terrier,Brown,"Feb 23, 2025",Date Lost,122nd  Pl SE & SE 214th St,Kent,,98031,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2910644,Image Copyright HLP Inc. 2025,"Description: Bear is 5 years old, brown short haired Terrier mix, medium size dog. He is a mixed breed terrier. Loves dog toys. <p/>Age: Over 1 year<p/>Location Lost: 122nd Pl SE and 214th St, Kent WA  98031<p/>Lost Date: 2025-02-23<p/>",
K25-176723,A724840,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2912754,LOST,Luna Or Lily,Dog,Under 1 year<p/>,Female,Maltese,White,"Mar 02, 2025",Date Lost,300 block of  S St SE,Auburn,,98002,AUBURN,47.30568,-122.206719,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2912754,Image Copyright HLP Inc. 2025,"Description: Small white maltipoo with some tan spots <p/>Age: Under 1 year<p/>Location Lost: 24th ave s , Seattle WA  98168<p/>Lost Date: 2025-03-02<p/>",
